"GENERO","ID_PAIS PROCEDENCIA","PAIS PROCEDENCIA","Id_departamento","DEPARTAMENTO","Id_edad","RANGO EDAD","ID MOTIVO VIAJE","MOTIVO VIAJE","NOCHES","ID TIPO ALOJAMIENTO","TIPO ALOJAMIENTO","GASTO TURISTICO GENERADO","ID_Medio","MEDIO","AÑO"
"FEMENINO","1","COLOMBIA","11","CAQUETA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","8","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","6","BOGOTA D.C","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","6","BOGOTA D.C","1","15-26","15","VISITAR A FAMILIARES Y/O AMIGOS","5","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","2","ANTIOQUIA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","2","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","17","CUNDINAMARCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","6","6","CASA FAMILIARES / AMIGOS","900000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","17","CUNDINAMARCA","2","27-38","15","VISITAR A FAMILIARES Y/O AMIGOS","6","6","CASA FAMILIARES / AMIGOS","900000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","5","mas de 63","13","VACACIONES, RECREO Y OCIO","3","11","HOTEL","3700000","2","AMIGOS Y/O FAMILIARES.","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","3","39-50","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","7","OTROS","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","5","mas de 63","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","2","AMIGOS Y/O FAMILIARES.","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","3","39-50","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","4","51-62","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","2000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","3","39-50","13","VACACIONES, RECREO Y OCIO","3","6","CASA FAMILIARES / AMIGOS","2000000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","13","VACACIONES, RECREO Y OCIO","3","6","CASA FAMILIARES / AMIGOS","2500000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","2","ANTIOQUIA","1","15-26","13","VACACIONES, RECREO Y OCIO","5","11","HOTEL","3600000","2","AMIGOS Y/O FAMILIARES.","2022"
"FEMENINO","1","COLOMBIA","10","CALDAS","2","27-38","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","2000000","2","AMIGOS Y/O FAMILIARES.","2022"
"FEMENINO","1","COLOMBIA","29","NARIÑO","3","39-50","13","VACACIONES, RECREO Y OCIO","3","7","CENTRO VACACIONAL / RESORT","2000000","2","AMIGOS Y/O FAMILIARES.","2022"
"FEMENINO","1","COLOMBIA","14","CAUCA","2","27-38","13","VACACIONES, RECREO Y OCIO","1","11","HOTEL","1000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","800000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","14","CAUCA","3","39-50","13","VACACIONES, RECREO Y OCIO","3","11","HOTEL","2000000","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","40","VALLE DEL CAUCA","1","15-26","13","VACACIONES, RECREO Y OCIO","2","11","HOTEL","1000000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","2","27-38","7","OTRO.","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","40","VALLE DEL CAUCA","5","mas de 63","15","VISITAR A FAMILIARES Y/O AMIGOS","","6","CASA FAMILIARES / AMIGOS","0","11","YA LOS CONOCIA","2022"
"MASCULINO","1","COLOMBIA","29","NARIÑO","1","15-26","7","OTRO.","1","11","HOTEL","400000","11","YA LOS CONOCIA","2022"
"FEMENINO","1","COLOMBIA","6","BOGOTA D.C","2","27-38","13","VACACIONES, RECREO Y OCIO","4","4","CASA / CABAÑA DE VACACIONES / APARTAMENTO ARRENDADO","6000000","3","BUSQUEDAS, PAGINAS Y AVISOS EN INTERNET.","2022"
